NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
1042,988,151,"(1349755.2498880476, 401772.2501845658)","['EMIL WAY', 'WIESE ST']"
1042,1043,150,"(1349755.2498880476, 401772.2501845658)","['EMIL WAY', 'WIESE ST']"
1042,1138,405,"(1349755.2498880476, 401772.2501845658)","['EMIL WAY', 'WIESE ST']"
1043,772,278,"(1349606.4998574704, 401794.2504686415)","['ROTHMAN ST', 'WIESE ST']"
1043,1013,152,"(1349606.4998574704, 401794.2504686415)","['ROTHMAN ST', 'WIESE ST']"
1043,1042,150,"(1349606.4998574704, 401794.2504686415)","['ROTHMAN ST', 'WIESE ST']"
1044,65,135,"(1341966.5000456423, 401760.2498804778)","['ALTHEA ST', 'ESTELLA AVE']"
1044,1056,453,"(1341966.5000456423, 401760.2498804778)","['ALTHEA ST', 'ESTELLA AVE']"
1044,1266,260,"(1341966.5000456423, 401760.2498804778)","['ALTHEA ST', 'ESTELLA AVE']"
1045,1046,136,"(1344563.5001009703, 401120.99984663725)","['LORNA WAY', 'ROLL WAY']"
1045,1047,393,"(1344563.5001009703, 401120.99984663725)","['LORNA WAY', 'ROLL WAY']"
1045,1048,133,"(1344563.5001009703, 401120.99984663725)","['LORNA WAY', 'ROLL WAY']"
1045,1293,262,"(1344563.5001009703, 401120.99984663725)","['LORNA WAY', 'ROLL WAY']"
1046,1045,136,"(1344699.7501565516, 401122.24984414876)","['LORNA WAY', 'KNOX AVE']"
1046,1108,47,"(1344699.7501565516, 401122.24984414876)","['LORNA WAY', 'KNOX AVE']"
1046,1118,327,"(1344699.7501565516, 401122.24984414876)","['LORNA WAY', 'KNOX AVE']"
1047,1045,393,"(1344553.750120476, 401514.25004439056)","['ROLL WAY', 'MATHEWS AVE']"
1047,1103,98,"(1344553.750120476, 401514.25004439056)","['ROLL WAY', 'MATHEWS AVE']"
1047,1210,156,"(1344553.750120476, 401514.25004439056)","['ROLL WAY', 'MATHEWS AVE']"
1048,1045,133,"(1344430.2500393838, 401119.7501772195)","['LORNA WAY', 'REDLYN ST']"
1048,1210,306,"(1344430.2500393838, 401119.7501772195)","['LORNA WAY', 'REDLYN ST']"
1048,1291,106,"(1344430.2500393838, 401119.7501772195)","['LORNA WAY', 'REDLYN ST']"
1049,65,125,"(1342105.500095725, 401633.25046256185)","['ARCADIA WAY', 'ALTAMONT WAY']"
1049,1401,458,"(1342105.500095725, 401633.25046256185)","['ARCADIA WAY', 'ALTAMONT WAY']"
1049,1448,132,"(1342105.500095725, 401633.25046256185)","['ARCADIA WAY', 'ALTAMONT WAY']"
1050,462,128,"(1339742.9998994768, 407475.74993239343)","['CUTHBERT ST', 'LAURIA WAY']"
1050,1096,113,"(1339742.9998994768, 407475.74993239343)","['CUTHBERT ST', 'LAURIA WAY']"
1050,1254,199,"(1339742.9998994768, 407475.74993239343)","['CUTHBERT ST', 'LAURIA WAY']"
1051,184,35,"(1349661.0000765473, 402951.00012364984)","['ECCLES ST', 'ELEANOR ST']"
1051,655,216,"(1349661.0000765473, 402951.00012364984)","['ECCLES ST', 'ELEANOR ST']"
1051,903,132,"(1349661.0000765473, 402951.00012364984)","['ECCLES ST', 'ELEANOR ST']"
1052,890,156,"(1345602.4999914765, 401796.5001360625)","['SHERMAN ST', 'SCHOOL WAY']"
1052,1075,38,"(1345602.4999914765, 401796.5001360625)","['SHERMAN ST', 'SCHOOL WAY']"
1052,1106,248,"(1345602.4999914765, 401796.5001360625)","['SHERMAN ST', 'SCHOOL WAY']"
1053,924,170,"(1345641.2499139756, 402253.75020581484)","['BROWNSVILLE RD', 'WALNUT ST']"
1053,1005,179,"(1345641.2499139756, 402253.75020581484)","['BROWNSVILLE RD', 'WALNUT ST']"
1053,1076,172,"(1345641.2499139756, 402253.75020581484)","['BROWNSVILLE RD', 'WALNUT ST']"
1054,772,149,"(1349675.7500470579, 402216.4999522269)","['SPRING ST', 'ROTHMAN ST']"
1054,961,129,"(1349675.7500470579, 402216.4999522269)","['SPRING ST', 'ROTHMAN ST']"
1054,1250,302,"(1349675.7500470579, 402216.4999522269)","['SPRING ST', 'ROTHMAN ST']"
1055,417,649,"(1338347.7500653118, 406777.2503451407)","['BELONDA ST', 'MANN ST']"
