NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
45,51,243,"(1356167.249859348, 410921.4999306798)","['JONCAIRE ST', 'BOUNDARY ST']"
46,29,308,"(1359602.117333442, 411767.41818633676)","['FORBES AVE', 'BORDER']"
47,17,453,"(1359662.7500861734, 410946.999879688)","['GLADSTONE RD', 'BORDER']"
47,98,258,"(1359662.7500861734, 410946.999879688)","['GLADSTONE RD', 'BORDER']"
48,44,422,"(1355588.3747047782, 410948.5707426667)","['JONCAIRE ST', 'BORDER']"
49,22,146,"(1355845.8997802585, 410823.95649060607)","['ISIS WAY', 'BORDER']"
49,44,142,"(1355845.8997802585, 410823.95649060607)","['ISIS WAY', 'BORDER']"
50,22,346,"(1355587.8996400833, 410886.2178490013)","['YARROW WAY', 'BORDER']"
51,35,46,"(1356000.6914654225, 410744.3900486827)","['BOUNDARY ST', 'BORDER']"
51,45,243,"(1356000.6914654225, 410744.3900486827)","['BOUNDARY ST', 'BORDER']"
52,13,129,"(1355805.4628532678, 409737.0200161785)","['PARKVIEW AVE', 'OAKLAND SQ']"
52,54,280,"(1355805.4628532678, 409737.0200161785)","['PARKVIEW AVE', 'OAKLAND SQ']"
52,87,158,"(1355805.4628532678, 409737.0200161785)","['PARKVIEW AVE', 'OAKLAND SQ']"
53,12,612,"(1356037.0001198351, 410522.50007252395)","['BOUNDARY ST', 'FREW ST', 'DIULUS WAY']"
53,26,1370,"(1356037.0001198351, 410522.50007252395)","['BOUNDARY ST', 'FREW ST', 'DIULUS WAY']"
53,35,199,"(1356037.0001198351, 410522.50007252395)","['BOUNDARY ST', 'FREW ST', 'DIULUS WAY']"
53,74,134,"(1356037.0001198351, 410522.50007252395)","['BOUNDARY ST', 'FREW ST', 'DIULUS WAY']"
54,52,280,"(1355579.729380846, 409814.0608725995)","['OAKLAND SQ', 'BORDER']"
55,98,84,"(1359907.2499252558, 411053.4999947548)","['GLADSTONE RD', 'BORDER']"
56,21,277,"(1355579.1161931008, 409733.6345242709)","['OAKLAND SQ', 'BORDER']"
57,58,670,"(1355572.5456681848, 408871.39740358293)","['PARKVIEW AVE', 'BORDER']"
58,20,204,"(1355668.2498731017, 409349.25012245774)","['PARKVIEW AVE', 'SEMPLE ST']"
58,57,670,"(1355668.2498731017, 409349.25012245774)","['PARKVIEW AVE', 'SEMPLE ST']"
58,68,140,"(1355668.2498731017, 409349.25012245774)","['PARKVIEW AVE', 'SEMPLE ST']"
59,64,1400,"(1360678.1827665865, 408569.01710283756)","['BARTLETT ST', 'SERPENTINE DR', 'BARTLETT RD']"
59,65,993,"(1360678.1827665865, 408569.01710283756)","['BARTLETT ST', 'SERPENTINE DR', 'BARTLETT RD']"
59,99,955,"(1360678.1827665865, 408569.01710283756)","['BARTLETT ST', 'SERPENTINE DR', 'BARTLETT RD']"
60,41,400,"(1356993.9998462647, 409971.9998611808)","['PANTHER HOLLOW RD', 'BORDER']"
61,6,424,"(1356542.7500926107, 408786.2502641678)","['BLVD OF THE ALLIES', 'BORDER']"
61,63,866,"(1356542.7500926107, 408786.2502641678)","['BLVD OF THE ALLIES', 'BORDER']"
62,63,147,"(1355571.1440961808, 408687.4551861733)","['BLVD OF THE ALLIES', 'BORDER']"
63,61,866,"(1355682.2498450875, 408683.25047019124)","['BLVD OF THE ALLIES', 'BORDER']"
63,62,147,"(1355682.2498450875, 408683.25047019124)","['BLVD OF THE ALLIES', 'BORDER']"
64,59,1400,"(1360337.50004901, 408815.9998766035)","['SERPENTINE DR', 'E CIRCUIT RD']"
64,70,2597,"(1360337.50004901, 408815.9998766035)","['SERPENTINE DR', 'E CIRCUIT RD']"
64,72,504,"(1360337.50004901, 408815.9998766035)","['SERPENTINE DR', 'E CIRCUIT RD']"
65,1,2461,"(1359890.99995777, 408074.00004824996)","['PANTHER HOLLOW RD', 'BARTLETT RD']"
65,59,993,"(1359890.99995777, 408074.00004824996)","['PANTHER HOLLOW RD', 'BARTLETT RD']"
66,14,153,"(1355768.5000006855, 410054.00002525747)","['JET WAY', 'BORDER']"
67,14,150,"(1355587.0000355989, 409970.24986466765)","['OAKLAND WAY', 'DAWSON ST']"
67,73,557,"(1355587.0000355989, 409970.24986466765)","['OAKLAND WAY', 'DAWSON ST']"
68,58,140,"(1355576.328797087, 409367.8317781687)","['SEMPLE ST', 'BORDER']"
69,82,565,"(1360993.0531998575, 411756.8227350861)","['BENNINGTON AVE', 'BORDER']"
70,18,2466,"(1358663.7501156777, 409921.7499616742)","['W CIRCUIT RD', 'E CIRCUIT RD']"
70,64,2597,"(1358663.7501156777, 409921.7499616742)","['W CIRCUIT RD', 'E CIRCUIT RD']"
71,20,352,"(1355577.3826007694, 409506.11726275086)","['BOLAIR WAY', 'BORDER']"
72,43,518,"(1360739.7499006689, 409065.7500332743)","['DARLINGTON RD', 'E CIRCUIT RD']"
72,64,504,"(1360739.7499006689, 409065.7500332743)","['DARLINGTON RD', 'E CIRCUIT RD']"
72,100,880,"(1360739.7499006689, 409065.7500332743)","['DARLINGTON RD', 'E CIRCUIT RD']"
73,8,120,"(1355765.000007689, 410498.7504481077)","['S BOUQUET ST', 'DAWSON ST', 'DIULUS WAY']"
73,67,557,"(1355765.000007689, 410498.7504481077)","['S BOUQUET ST', 'DAWSON ST', 'DIULUS WAY']"
73,74,152,"(1355765.000007689, 410498.7504481077)","['S BOUQUET ST', 'DAWSON ST', 'DIULUS WAY']"
74,53,134,"(1355912.0295692682, 410472.038231194)","['DIULUS WAY', 'BORDER']"
74,73,152,"(1355912.0295692682, 410472.038231194)","['DIULUS WAY', 'BORDER']"
75,15,585,"(1358931.0002373606, 411261.2830437571)","['MARGARET MORRISON ST', 'SKIBO DR']"
75,33,380,"(1358931.0002373606, 411261.2830437571)","['MARGARET MORRISON ST', 'SKIBO DR']"
75,101,475,"(1358931.0002373606, 411261.2830437571)","['MARGARET MORRISON ST', 'SKIBO DR']"
76,34,1978,"(1357106.5806578398, 411786.4276627749)","['HAMERSCHLAG DR', 'BORDER']"
77,33,385,"(1358199.100126341, 411464.74785992503)","['MARGARET MORRISON ST', 'BORDER']"
78,0,272,"(1360053.9999598414, 410624.500196591)","['SCHENLEY RD', 'BORDER']"
79,2,133,"(1357150.1497964263, 409417.68108792603)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
79,6,510,"(1357150.1497964263, 409417.68108792603)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
80,5,409,"(1360183.5000289232, 410550.2500170022)","['SCHENLEY RD', 'BORDER']"
81,8,236,"(1355584.6368513405, 410458.0615531057)","['DIMLING WAY', 'BORDER']"
82,10,338,"(1361190.9999824166, 411256.99991583824)","['PLAINFIELD ST', 'BENNINGTON AVE']"
82,69,565,"(1361190.9999824166, 411256.99991583824)","['PLAINFIELD ST', 'BENNINGTON AVE']"
83,13,125,"(1355888.0000897497, 409978.50017625093)","['PARKVIEW AVE', 'BORDER']"
84,13,164,"(1355999.749866277, 409804.24986860156)","['OAKLAND WAY', 'BORDER']"
85,15,199,"(1359542.7499980927, 411354.75037653744)","['ROSELAWN TER', 'BORDER']"
86,20,80,"(1355808.7499201745, 409512.00012500584)","['BOLAIR WAY', 'BORDER']"
87,21,162,"(1355918.191630423, 409656.20324867964)","['OAKLAND SQ', 'BORDER']"
87,52,158,"(1355918.191630423, 409656.20324867964)","['OAKLAND SQ', 'BORDER']"
88,22,143,"(1355871.5001227558, 410631.5001825839)","['YARROW WAY', 'YARROW ST']"
88,35,128,"(1355871.5001227558, 410631.5001825839)","['YARROW WAY', 'YARROW ST']"
89,24,268,"(1360097.4998728335, 411512.25038960576)","['NORMLEE PL', 'BORDER']"
90,25,362,"(1361135.0000944287, 410463.2501910031)","['SQUIRREL HILL AVE', 'NORTHUMBERLAND ST']"
90,40,556,"(1361135.0000944287, 410463.2501910031)","['SQUIRREL HILL AVE', 'NORTHUMBERLAND ST']"
91,26,432,"(1355879.500106752, 408877.50008168817)","['JUNO ST', 'BORDER']"
92,31,337,"(1360929.9732735157, 411757.3033771813)","['MAYNARD ST', 'BORDER']"
93,32,417,"(1358780.999881193, 410749.25027516484)","['FREW ST', 'BORDER']"
94,36,806,"(1361189.0072042793, 410149.90764184296)","['AYLESBORO AVE', 'BORDER']"
95,37,656,"(1361186.593823269, 409832.9555198401)","['FORBES AVE', 'BORDER']"
96,42,175,"(1359627.750156194, 410669.500106588)","['SCHENLEY RD', 'BORDER']"
97,43,273,"(1360921.9998642504, 409611.49992601573)","['DARLINGTON CT', 'BORDER']"
98,47,258,"(1359855.0000297576, 411120.25018934906)","['GLADSTONE RD', 'BORDER']"
98,55,84,"(1359855.0000297576, 411120.25018934906)","['GLADSTONE RD', 'BORDER']"
99,59,955,"(1361178.770020008, 408805.40508151054)","['BARTLETT ST', 'BORDER']"
100,72,880,"(1361182.1876640916, 409254.2729501724)","['DARLINGTON RD', 'BORDER']"
101,75,475,"(1359322.2944022715, 411269.98184527457)","['SKIBO DR', 'BORDER']"
